" - Set of %d"," - Lot de %d"
"%d orders have been imported","%d commandes ont été importées"
"%d products found.(in stock + out of stock)","%d produits trouvés.(en stock + hors stock)"
"%s customer group","Groupe client %s"
"%s fees","%s commission"
"%s shipping method","Méthode de livraison "%s"
"<b style='color:red'>Feed URL :</b>&nbsp;&nbsp;<span style='font-size:14px;font-style:italic;'>http://domain.tld/shoppingflux/export_flux/</span><br /><br /><br />","<b style='color:red'>URL du flux :</b>&nbsp;&nbsp;<span style='font-size:14px;font-style:italic;'>http://domain.tld/shoppingflux/export_flux/</span><br /><br /><br />"
"<strong>%s</strong> exported products.","<strong>%s</strong> produits exportés."
"<strong>Shopping Feed is installed!</strong> <b>Attention : </b><a href=""%s"">Click here to finish account setup.</a>","<strong>Shopping Flux est installé!</strong> <b>Attention : </b><a href=""%s"">Cliquez ici pour finaliser la configuration du compte.</a>"
"Additionnal Attributes","Attributs supplémentaires"
"Advanced management of configurable products ?","Gestion avancée des produits configurables ?"
"Advanced Shipping Methods Mapping","Méthode de livraison - Mapping avancé"
"API key","Clé API"
"Brand page's URL","URL de la page marque"
"Brand","Marque"
"By default, you need to keep the 'sku' attribute. This value will be used as unique identifier for your products on ShoppingFeed and Marketplaces. Do not change unless shopping feed told you to.","Par défaut, il faut renseigner votre champ SKU. C'est la valeur qui servira d'id produit sur SF et sur les places de marché. A ne modifier que sur demande de Shopping Flux."
"Carrier mapping for Google Shopping Actions","Association des transporteurs pour Google Shopping Actions"
"Change publication","Changer la publication"
"Characteristics","Caractéristiques"
"Color","Couleur"
"Create invoice ?","Créer une facture ?"
"Cron log","Journaux des crons"
"Crons","Crons"
"Current default category","Catégorie SF actuelle"
"Customer Import","Import client"
"Customer Mobile Attribute","Attribut téléphone portable"
"Default country used to calculate shipping fees","Pays de livraison par défaut, utilisé pour le calcul des frais de port"
"Default customer group","Groupe client par défaut"
"Default shipping fees amount","Frais de livraison par défaut"
"Default shipping method to calculate shipping fees","Méthode de livraison par défaut utilisé pour le calcul des frais de port"
"Default shipping method","Méthode de livraison par défaut"
"Delete","Effacer"
"Dimension","Dimension"
"Disable this option if you have memory issues.","A désactiver en cas de problème de ressources/performances."
"Do not export this category in ShoppingFlux","Ne pas exporter cette categorie dans ShoppingFlux"
"Does not concern main image. Faster if 'No'.","Ne concerne pas l'image principale du produit. Gain en performance si 'Non'"
"Ecotax","Ecotaxe"
"Email address for alerts","Adresse email pour les alertes"
"Enable automatic updates ?","Activer les mises à jour automatiques ?"
"Enable background generation ?","Activer la génération en tache de fond ?"
"Enable buyline ?","Activer le buyline ?"
"Enable order management","Activer la gestion des commandes"
"Enable product export ?","Activer l'export produit ?"
"Enable ShoppingFlux events ?","Activer les événements ShoppingFlux ?"
"Enable temporary retention of out of stock/not salable products","Activer la rétention temporaire des produits épuisés/non vendables"
"Error in update status shipped to ShoppingFlux","Erreur lors de la mise à jour de l'expédition sur ShoppingFlux"
"Execution time limit","Limite de temps d'exécution"
"Expedition delay","Délai d'expédition"
"Experimental feature.","Fonctionnalité expérimentale."
"Export all images","Exporter toutes les images"
"Export not salable products","Exporter les produits non vendables"
"Export out of stock products","Exporter les produits épuisés"
"Export product with visibility :","Exporter les produits avec la visibilité :"
"Export products from all stores ?","Exporter les produits de tous les magasins ?"
"Export selected products only ?","Exporter seulement les produits sélectionnés ?"
"Exported image count","Nombre d'images à exporter"
"Faster if yes.","Plus rapide si 'Oui'."
"Feed generation","Génération du flux"
"Feed list","Liste des flux"
"Feed List","Liste des flux"
"Fees","Commission"
"Gender","Genre"
"General","Général"
"Generation will be done in %d part(s) of %d product(s)","La génération sera exécutée en %d partie(s) de %d produit(s)"
"GSA carrier for %s","Transporteur GSA pour %s"
"If any doubt exists, leave it to 'No'","En cas de doute, laisser à non."
"If no, only configurable products will be transfered (without their children). In most cases, should be set to 'Yes'.","Si non, seuls les produits configurable seront ajoutés au flux (sans leur enfants). Dans la plupart des cas, laisser 'Oui'."
"If no, the order date will be the import date.","Si 'non', la date et l'heure commande seront la date et l'heure d'import de celle ci."
"If yes, a notification will be sent each time an error is returned by the Shopping Feed API when syncing shipments.","Si oui, une notification sera envoyée à chaque fois qu'une erreur sera retournée par l'API Shopping Feed lors de la synchronisation des expéditions"
"If yes, a notification will be sent each time the module can not connect to the Shopping Feed API when syncing shipments.","Si oui, une notification sera envoyée à chaque fois que le module ne peut pas se connecter à l'API Shopping Feed lors de la synchronisation des expéditions"
"If yes, an invoice will be created on ShoppingFlux's order creation","Si oui, une facture sera créée lors de l'import des commandes ShoppingFlux"
"If yes, products with 'Manage stock' = 'No' will have a stock qty to 100 in the feed.","Si oui, les produits avec 'Gestion des stock' à 'Non' auront un stock de 100 dans le flux."
"If yes, the feed URL will include a crypted version of the API key. <strong>After enabling this option, you'll have to adapt the URL everywhere it is used</strong>.","Si oui, l'URL du flux inclura une version cryptée de la clé API. <strong>Après avoir activé cette option, vous devrez adapter l'URL partout où elle est utilisée</strong>."
"If yes, you'll have to select products in <strong>Shoppingflux > Product Selection</strong>","Si oui, vous devrez sélectionner vos produits dans <strong>Shoppingflux > Sélection de produits</strong>"
"Import by n orders","Importer par n commandes"
"Import mobile phone instead of desk phone, if available","Importer le mobile plutot que le fixe, si disponible"
"Import new ShoppingFlux orders","Importer les nouvelles commandes ShoppingFlux"
"In case of issue while transfering data, an email will be sent to this address.","En cas de problème lors du transfert de données, un email sera envoyé à cette adresse."
"In category ?","Présent ?"
"In hours. If the shipment has still not any tracking number filled after X hours, the shipment is sent to the marketplace without tracking number.","En heures. Si l'expédition n'a toujours pas de numéro de suivi enregistré au bout de X heures, l'expédition sera transmise à la marketplace sans numéro de suivi."
"In hours. Maximum duration: 168 hours (1 week).","En heures. Durée maximum : 168 heures (1 semaine)."
"in MB. Do not modify if you don't know what you are doing.","en MB. Ne modifier que si vous savez ce que vous faites."
"in seconds. Do not modify if you don't know what you are doing.","en secondes. Ne modifier que si vous savez ce que vous faites."
"Include API key in feed URL ?","Inclure la clé API dans l'URL du flux ?"
"Invoice could not be created (no items).","La facture n'a pu être créée (aucun articles)."
"Invoiced order status","Status des commandes facturées"
"Keywords","Mots clés"
"Known Attribute Mapping","Mapping des attributs connus"
"Leave empty to not limit length. Minimum value if filled : 20","Laisser vide pour ne pas limiter. Valeur minimum : 20"
"Leave empty to use default group","Laisser vide pour utilisé le groupe client par défaut"
"Leave empty to use default shipping method.","Laisser vide pour utiliser la méthode de livraison par défaut"
"Limit addresses length","Limiter la longueur des adresses"
"Limit number of orders imported. 10 by default","Limite le nombre de commandes importées. 10 par défaut"
"Log is empty.","Le journal est vide."
"Manage catalog price rules ?","Gérer les règles de prix catalogue ?"
"Manage 'Manage stock' attribute ?","Gérer l'attribut 'Gestion des stock' ?"
"Manage Orders","Gestion des commandes"
"Manage product galleries ?","Gérer les galleries produit ?"
"Manage Products","Gestion des produits"
"Manufacturer's reference","Référence constructeur"
"Marketplace","Marketplace"
"Marketplace: %s","Marketplace: %s"
"Material","Matière"
"Max time before sending shipment update to marketplace","Durée maximum avant l'envoi de l'expédition vers la marketplace"
"Memory limit","Limite mémoire"
"Name In %s","Nom dans %s"
"New order status","Status des nouvelles commandes"
"No","Non"
"Notify API Connection Errors when Syncing Shipments","Notifier des erreurs de connexion à l'API lors de la synchronisation des expéditions"
"Notify API Errors when Syncing Shipments","Notifier des erreurs API lors de la synchronisation des expéditions"
"Only instock products will be exported","Seuls les produits en stock seront exportés"
"Order %s has been updated in ShoppingFlux. Status returned : %s","La commande %s a été mis à jour sur ShoppingFlux. Status retourné : %s"
"Order import error : %s","Erreur d'import commande : %s"
"Order import is disabled in ShoppingFlux configuration. You must enable it to use this functionnality.","L'import de commande est désactivé dans la configuration ShoppingFlux. Vous devez l'activer pour pouvoir utiliser cette fonctionnalité."
"Orders sent result : %s","Résultat d'envoi de commande : %s"
"Orders","Commandes"
"Other attributes to export","Autres attributs à exporter"
"Price","Prix"
"Product %s is out of stock. Product has not been imported.","Le produit %s est hors stock. Il n'a pas été importé."
"Product description","Description"
"Product name","Nom"
"Product Selection","Sélection de produits"
"Product short description","Description courte"
"Product short name","Nom court"
"Publication","Publication"
"Result is not Varien_Simplexml_Element","Result is not Varien_Simplexml_Element"
"Select product to export to ShoppingFlux","Selectionnez les produits à exporter sur ShoppingFlux"
"Send notification to ShoppingFeed","Envoyer à ShoppingFlux"
"Send to Shoppingflux ?","Exporter sur Shoppingflux ?"
"Shipment Update","Mise à jour d'expédition"
"Shipping Country","Pays de livraison"
"Shipping delay","Délai de livraison"
"Shipping delay, in <strong>days</strong>. This will be used if no shipping delay attribute is mapped.","Délai de livraison, en <strong>jours</strong>. Sera utilisé si aucun attribut de délai de livraison n'est selectionné"
"Shipping fees","Frais de livraison"
"Shipping Method for %s","Méthode de livraison pour %s"
"Shipping Method","Méthode de livraison"
"Shoe size","Pointure"
"Shopping Feed Information","Informations Shopping Flux"
"Shopping flux log","Journal ShoppingFlux"
"Shopping flux orders","Commandes ShoppingFlux"
"Shopping Flux","Shopping Flux"
"Shoppingflux alert : <br/> %s","Alerte Shoppingflux : <br/> %s"
"Shoppingflux alert","Alerte Shoppingflux"
"ShoppingFlux API key (Token) is not valid","La clé d'API (Token) ShoppingFlux n'est pas valide"
"Shoppingflux Category Products","Produits de la catégorie (Shoppingflux)"
"ShoppingFlux Export","Export ShoppingFlux"
"ShoppingFlux ID","ID ShoppingFlux"
"ShoppingFlux identifier","identifiant ShoppingFlux"
"ShoppingFlux Order ID : #%s","ID commande ShoppingFlux : #%s"
"ShoppingFlux order import","Import de commande ShoppingFlux"
"ShoppingFlux order log","Journal de commandes ShoppingFlux"
"ShoppingFlux orders log","Journal de commandes ShoppingFlux"
"ShoppingFlux orders","Commandes ShoppingFlux"
"Should be no in most cases.","Doit être à non dans la majorité des cas."
"Should be yes in most cases.","Doit être à oui dans la majorité des cas."
"Show advanced configuration ?","Afficher la configuration avancée ?"
"Size","Taille"
"Special Price","Prix spécial"
"Specific prices","Prix spécifiques"
