"In category ?","In category ?"
"Current default category","Current default category"
"No","No"
"Yes","Yes"
"Send to Shoppingflux ?","Send to Shoppingflux ?"
"%d products found.(in stock + out of stock)","%d products found.(in stock + out of stock)"
"Only instock products will be exported","Only instock products will be exported"
"Generation will be done in %d part(s) of %d product(s)","Generation will be done in %d part(s) of %d product(s)"
"Step <strong>%s/%s.  %s/%s</strong> product(s)","Step <strong>%s/%s.  %s/%s</strong> product(s)"
"<strong>%s</strong> exported products.","<strong>%s</strong> exported products."
"Name In %s","Name In %s"
"Change publication","Change publication"
"Publication","Publication"
"Shopping flux log","Shopping flux log"
"Delete","Delete"
"ShoppingFlux ID","ShoppingFlux ID"
"Marketplace","Marketplace"
"Fees","Fees"
"Shopping flux orders","Shopping flux orders"
"Shipping Method for %s","Shipping Method for %s"
"There is no marketplace shipping method registered yet.","There is no marketplace shipping method registered yet."
"%s fees","%s fees"
"Shoppingflux alert","Shoppingflux alert"
"Shoppingflux alert : <br/> %s","Shoppingflux alert : <br/> %s"
"Product %s is out of stock. Product has not been imported.","Product %s is out of stock. Product has not been imported."
"Shoppingflux Category Products","Shoppingflux Category Products"
"ShoppingFlux Order ID : #%s","ShoppingFlux Order ID : #%s"
"Order %s has been updated in ShoppingFlux. Status returned : %s","Order %s has been updated in ShoppingFlux. Status returned : %s"
"Error in update status shipped to ShoppingFlux","Error in update status shipped to ShoppingFlux"
"Order import error : %s","Order import error : %s"
"Invoice could not be created (no items).","Invoice could not be created (no items)."
"Result is not Varien_Simplexml_Element","Result is not Varien_Simplexml_Element"
"ShoppingFlux API key (Token) is not valid","ShoppingFlux API key (Token) is not valid"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"There was an error while updating product(s) publication","There was an error while updating product(s) publication"
"Crons","Crons"
"ShoppingFlux order import","ShoppingFlux order import"
"Order import is disabled in ShoppingFlux configuration. You must enable it to use this functionnality.","Order import is disabled in ShoppingFlux configuration. You must enable it to use this functionnality."
"%d orders have been imported","%d orders have been imported"
"Orders sent result : %s","Orders sent result : %s"
